Date,Category,tuned/tunedff/tuned45/untuned/control,BCI axis,Channels,,Tuning (MC position),,,,Tuning (MC velocity),,,,MC velocity *,Targets per min,,,,,,,,TargetType (1=0.08; 2=0.12) ,Comments
,,,"FE = 1, RU = 2",,,FE,RU,FE,RU,FE,RU,FE,RU,,MC position,MC velocity,1D BC,DC,BC,DC,MC position,MC velocity,,
10/17/2013,III or IV,4,,F29.3,E73.2,-3.9,-2.7,-2.5,-1.8,1.0,-5.6,-3.5,-4.3,*,24,x,2.6,0.8,x,x,22.2,x,,
10/21/2013,I,1,,R58.2,U62.1,-3.0,-5.7,-0.8,7.7,3.6,-7.0,-5.4,6.8,,23.4,16.6,2.6,0.8,1.4,,,,,
10/21/2013,2D BC exception,x,,58.1/21.2,62.1/49.3,,,,,,,,,,22.8,x,6.6 (2D BC!!!),x,x,x,15.8,,,
10/22/2013,III or IV,4,,F20.3,E58.3,-1.9,1.4,-2.7,3.2,-3.2,-2.7,2.9,-6.7,,20.4,16,2.4,0.8,1.4,x,x,,,
10/22/2013,II,5,,F58.1,E21.3,6.3,3.4,-4.4,6.2,6.9,-5.8,-6.1,6.4,*,18,x,26.4,18.2,24,x,2.2,,,
10/23/2013,I,1,,R26.2,U87.2,0.9,5.5,2.7,-7.0,-2.2,7.7,2.8,-7.6,,20.6,16.2,11.6,6.6,x,5.4,,,,
10/23/2013,I,2,,U26.2,U87.2,-2.3,-4.7,1.7,-6.4,-2.3,7.2,1.6,-5.8,,18.6,11.4,11.6,5.6,11,x,x,,,
10/24/2013,III,4,,F81.1,E75.3,1.6,-4.2,-1.1,-1.6,2.6,-5.3,1.6,-3.7,,23,15,x,3,7.4,8.2,x,x,,target to cursor keepaway changed from 0.3 to 0.2
10/24/2013,I,3,,F88.1,E88.3,4.0,1.1,-5.8,4.7,6.4,-5.4,-7.5,-1.5,*,20,x,x,1.6,1.6,1.6,x,x,,target to cursor keepaway changed from 0.3 to 0.2
10/25/2013,III or IV,4,,F79.1,E49.1,-1.9,3.3,-1.3,3.2,-1.0,2.8,-3.3,-3.6,,23.4,16.4,x,0.6,1.2,1.6,x,x,,target to cursor keepaway changed from 0.3 to 0.2
10/25/2013,I,2,,R60.1,U60.2,-5.7,-3.6,-6.6,-1.8,4.7,-5.8,-6.7,2.6,*,23,x,x,1.8,2.6,1.4,20.6,,,target to cursor keepaway changed from 0.3 to 0.2
10/29/2013,I,1,,F60.1,E88.3,-3.6,-3.5,-5.3,0.8,5.3,-1.9,-5.7,1.2,,22.8,15.6,x,1.6,1.6,1.4,x,x,,
10/29/2013,I,2,,F87.2,E81.1,3.0,-7.6,-2.2,-4.6,5.2,-6.0,5.3,2.4,*,23,x,1.8,0.4,1.4,x,23.8,,,
10/30/2013,I,3,,F89.2,E88.3,4.9,3.9,-6.4,0.9,5.6,-3.7,-6.9,1.8,,25.4,16.8,3.4,2.4,3.6,x,x,x,,
10/31/2013,I,1,,R62.2,U49.2,-3.8,7.6,3.0,-5.7,-4.2,7.5,6.3,-5.3,,20.6,15.6,2.2,0.6,x,x,x,x,,
10/31/2013,I,3,,F58.1,E88.3,7.0,5.3,-5.6,1.6,7.5,-5.3,-8.0,-2.5,*,23.2,x,17.8,14.6,14.8,x,12.8,x,,
11/1/2013,I,2,,F83.2,E22.1,7.3,2.5,5.4,2.8,-7.6,-4.6,-8.0,4.8,,23.6,16.8,7.4,12.2,8,x,x,x,,both flexion tuned
11/1/2013,I or II,3,,F46.1,E87.2,4.9,5.8,-5.1,-6.9,-5.6,5.3,4.2,-9.8,*,21.2,x,2,2.4,2.4,x,22.4,x,,
11/4/2013,I,2,,F29.2,E58.1,7.2,-3.1,6.9,3.7,9.1,-5.3,8.3,-8.7,,23.2,13.8,5,4.6,8,,,,,both flexion tuned
11/4/2013,III or IV,4,,F20.3,E81.2,-3.1,-1.5,-1.3,2.8,-2.7,-2.5,-1.5,5.0,*,21.4,x,2.2,1.4,1.8,x,21.1,x,,
11/5/2013,I,1,,F22.1,E60.1,7.4,-1.8,-5.3,-2.9,-7.8,3.8,5.4,-7.3,,23.2,16,5,3,6.6,x,x,x,,
11/5/2013,II,5,,F29.3,E46.1,-1.0,-3.5,-5.7,3.9,2.2,-5.9,-6.3,-3.4,*,22.4,x,3.8,5.2,5.4,x,18.2,,,
11/6/2013,I or II,2,,F22.1,U87.2,5.3,3.7,1.6,-7.0,-7.9,4.9,-1.9,-8.3,,22,x,2.2,1.2,2,,x,x,,flexion and ulnar tuned  - not many cells on this day
11/6/2013,2D BC exception,x,,58.3/20.3,62.3/87.2,,,,,,,,,,23.2,x,5.4 (2D BC),x,x,x,20.2,,,
11/7/2013,I,3,,F22.1,E88.3,7.6,-3.2,-4.3,-3.7,-6.7,4.1,-6.2,2.8,,22.6,15.4,1.6,0.4,0.8,x,x,x,,
11/7/2013,II,5,,F58.3,E21.2,6.2,-4.2,-5.0,5.4,7.3,-7.1,-7.0,8.5,*,21.4,x,22,20.6,x,x,16.6,x,,
11/13/2013,I,1,,R62.3,U75.2,4.6,8.7,-2.3,-2.0,-4.6,8.9,-3.5,-3.0,,22.4,11.6,0,10.4,3.2,x,18,,,practicing DC for 60min!
11/14/2013,I,1,,F89.2,E29.2,3.8,-2.3,5.8,2.1,-4.4,2.3,8.0,-5.4,,23.2,17,1.2,4.2,x,x,x,x,,
11/14/2013,I,1,,R62.3,U87.1,-3.7,6.5,-2.5,-5.9,-4.0,8.0,5.7,-8.4,*,18.4,x,5.2,2.8,5.4,x,19.6,x,,
11/22/2013,I,3,,R21.1,U87.1,5.0,6.7,1.7,-6.7,-5.0,8.2,3.5,-6.9,,22,13.4,0.8,1.2,1.2,x,x,x,,
11/22/2013,I,1,,F58.1,E20.1,6.8,-3.6,-4.1,-2.7,5.3,-6.3,-5.8,-3.1,*,18,x,2.8,7.6,4.6,x,17.6,x,,tuning all over the place
11/25/2013,I,3,,R62.3,U87.1,-3.6,9.0,5.1,-4.7,-2.7,9.1,3.6,-8.6,,21.4,15.8,5,1.8,4.6,,,,,
11/25/2013,I,3,,F53.2,E20.3,5.3,3.8,-4.6,-2.4,8.2,2.3,-6.2,1.7,,14.8,18.6,9.6,15,9.6,x,15.4,9.4,,
11/26/2013,I,3,,R88.1,U87.1,3.6,5.0,4.0,-6.1,1.7,5.9,3.2,-8.0,,22.8,14.2,1.2,1.8,1.6,x,x,x,,
11/26/2013,IV,4,,U20.3,R79.1,4.0,-3.7,-4.6,-3.1,-2.7,2.5,-1.2,3.8,*,21,x,7,4.4,13.8,x,18.2,x,,
11/27/2013,I,3,,R62.3,U87.1,-2.2,7.5,6.0,-7.5,-3.2,8.7,5.3,-8.4,,21.6,15,2.8,5,4.4,,,,,
11/27/2013,IVb,4,,F20.2,E20.3,-4.1,-1.3,-3.1,-2.1,-5.2,2.1,3.9,-3.5,*,21,x,4.6,13.8,8.4,x,12.6,x,,
12/2/2013,I,1,,R62.3,U87.1,4.9,9.3,4.1,-6.7,-2.5,10.0,3.1,-8.8,,23,12.8,5.6,2,3.6,x,x,x,,
12/2/2013,IV,4,,F88.2,E79.1,-1.3,3.0,-4.6,3.0,4.6,-6.7,1.8,2.5,*,20.2,x,1.2,1.8,0.8,x,x,x,,
12/3/2013,I,3,,R88.1,U59.3,4.9,3.9,4.0,-3.2,3.5,6.3,4.0,-7.1,,20.8,16,3.4,3,2.2,x,x,x,,
12/3/2013,IVb,4,,F81.1,E89.2,-3.5,-3.1,-1.7,4.2,-2.3,-2.1,-3.6,4.1,*,20.2,x,8.4,7,9.4,x,17.8,x,,
12/4/2013,I,1,,R89.2,U87.1,1.4,7.1,3.0,-6.7,-4.3,6.0,4.6,-8.2,,20.6,x,3.2,2.4,3.2,x,x,x,,
12/4/2013,I,1,,F92.1,E20.3,6.4,-2.6,-4.0,-2.3,7.2,-3.8,-4.9,3.4,*,19,x,2.2,3.2,3.4,x,17.4,x,,
12/5/2013,I,1,,F58.1,E21.1,7.2,4.6,-6.3,4.2,7.6,-6.2,-7.6,6.6,,23.4,17.4,23,18.2,20.2,x,x,x,,
12/5/2013,IV,4,,F41.1,E79.1,-3.6,-2.3,-4.5,-3.1,-2.1,1.9,1.8,1.9,*,18.4,x,0,0.2,0,x,19,,,???
12/9/2013,IV,4,,F20.1,E88.2,3.0,-1.3,-0.8,1.9,-5.8,1.7,6.2,-5.5,,19.6,13.6,2.4,1,x,x,x,x,,
12/9/2013,IV,4,,F88.1,E20.3,3.9,3.5,-0.5,-2.4,3.5,5.2,-5.3,2.1,*,20.4,x,4.6,10,6.2,x,13.6,x,,
12/10/2013,IV,4,,F20.3,E54.1,3.8,0.9,1.5,-1.6,-6.5,1.9,4.6,1.3,,16,13.8,4.2,3,3.6,x,x,x,,
12/10/2013,I,3,,R62.1,U87.1,5.7,7.8,-2.1,-6.4,3.4,9.0,4.5,-7.9,*,18.2,x,1.4,0.6,1.2,x,17.6,x,,
12/16/2013,I,2,,R88.1,U8.1,,,,,,,,,,22.2,3.6,2.4,0.8,2.4,x,x,x,,
12/16/2013,IV,4,,F62.3,E54.1,3.8,-4.7,3.7,-1.7,-3.0,-2.8,-1.5,1.6,*,22,x,0.4,1.2,1,x,22.8,x,,
1/2/2014,,x,,79.2,54.1,,,,,,,,,,21.6,13.6,6.2,3.6,3.8,x,x,x,,Not sure about these scores - manual data croping
,,x,,43.1,58.3,,,,,,,,,,15.8,x,7.4,7,3,x,18,,,Not sure about these scores - manual data croping
1/3/2014,,x,,63.3,79.2,,,,,,,,,,23.2,15.6,4.2,4.2,2.6,x,20.4,,,NEV files missing
1/6/2014,IV,4,,F79.2,E63.3,1.5,-1.9,-1.4,-2.8,1.8,-4.6,4.2,-5.1,,23,13.4,1.8,5.2,2.2,x,x,x,,
1/6/2014,IV,4,,R96.2,U58.3,2.0,2.0,2.2,-3.8,-2.8,-1.0,-2.4,-5.7,,18.8,x,4.8,4.2,4.8,x,14.8,x,,
1/7/2014,IV,1,,F88.1,E49.1,2.0,5.6,-3.6,3.2,2.0,5.0,-1.1,3.6,,21,9.6,2.8,0.6,0.6,x,x,x,,
1/7/2014,I,1,,F58.1,E31.1,7.2,-4.3,-3.9,-3.1,,,,,*,17.4,x,21.4,12.4,15.6,x,13.8,x,,
1/8/2014,I,1,,F90.1,E79.2,5.9,2.8,-2.0,-1.9,6.8,2.2,1.1,-3.4,,21.2,x,2.8,5.2,1.8,x,17.2,x,,
1/9/2014,IV,4,,F96.1,E96.2,-2.3,-3.7,1.2,4.4,-1.4,2.8,2.8,-1.7,,21.6,13,2.6,10.4,8.6,x,x,x,,
1/9/2014,I,1,,F87.3,E20.3,5.8,2.1,-5.6,-2.8,3.0,5.6,-1.9,4.1,,17.2,3.4,2.4,2.6,x,x,x,x,,
1/14/2014,IV,4,,F78.3,E88.1,-3.8,-3.3,3.4,3.1,-3.7,-4.1,3.4,7.1,,23.2,15.6,0,0.4,1,x,x,x,,
1/14/2014,IV,4,,F78.3,E88.1,-4.1,-2.4,4.1,3.4,-3.7,-4.1,3.4,7.1,,23.4,x,1.4,0,x,x,x,x,,
1/16/2014,I,3,,R88.1,U58.2,4.2,4.5,-2.8,-5.4,3.0,6.8,-1.1,-7.3,,24.8,16.6,0.8,2.8,2.6,x,x,x,,
1/16/2014,I,3,,R88.1,U58.2,5.1,4.5,-1.1,4.2,3.1,5.9,-1.6,-7.5,,21,12.4,1.2,1,1.6,x,19.4,12,,
2/3/2014,I,1,,F83.2,R88.1,-1.7,-2.7,-1.6,5.5,-4.5,-4.2,2.7,7.1,,21.2,13.4,2.6,1.2,2.2,,,,,
2/3/2014,?,x,,F83.2,R88.1,29.2,-4.5,31.6,3.7,-4.9,-2.1,2.6,5.9,,19.6,10.6,3.2,0.8,3,x,20.6,10.8,,"problem while determining position tuning, crazy numbers"
